






















































































































2025-04-18 23:01:56,http://3,c,1,Nhập kho
2025-04-18 23:02:18,1,a,3,Nhập kho
2025-04-18 23:02:44,2,b,2,Nhập kho
2025-04-18 23:04:00,http://3,c,1,Xuất kho
2025-04-18 23:09:20,http://3,c,3,Nhập kho
2025-04-18 23:09:40,2,b,2,Nhập kho
2025-04-18 23:10:04,1,a,1,Nhập kho
2025-04-18 23:10:59,1,a,1,Xuất kho
2025-04-18 23:11:18,2,b,2,Xuất kho
2025-04-18 23:11:43,http://3,c,3,Xuất kho
2025-04-18 23:22:05,http://3,c,3,Nhập kho
2025-04-18 23:22:26,2,b,2,Nhập kho
2025-04-18 23:22:50,1,a,1,Nhập kho
2025-04-18 23:23:16,1,a,1,Xuất kho
2025-04-18 23:23:37,2,b,2,Xuất kho
2025-04-18 23:24:04,http://3,c,3,Xuất kho
2025-04-18 23:25:03,1,a,1,Nhập kho
2025-04-18 23:25:50,1,a,1,Xuất kho
2025-04-18 23:26:31,1,a,1,Nhập kho
2025-04-18 23:29:48,1,a,1,Xuất kho
2025-04-18 23:30:54,1,a,1,Nhập kho
2025-04-18 23:40:24,1,a,1,Xuất kho
2025-04-18 23:41:27,http://3,c,3,Nhập kho
2025-04-18 23:42:32,1,a,1,Nhập kho
2025-04-18 23:44:36,http://3,c,3,Xuất kho
2025-04-18 23:45:02,1,a,1,Xuất kho
2025-04-18 23:45:46,1,a,1,Nhập kho
2025-04-18 23:47:44,1,a,1,Xuất kho
2025-04-18 23:48:36,1,a,1,Nhập kho
2025-04-18 23:55:09,1,a,1,Xuất kho
2025-04-18 23:56:06,1,a,1,Nhập kho
2025-04-18 23:56:58,1,a,1,Xuất kho
2025-04-18 23:57:45,1,a,1,Nhập kho
2025-04-18 23:58:11,1,a,1,Xuất kho
2025-04-18 23:59:20,1,a,1,Nhập kho
2025-04-19 00:02:33,http://3,c,3,Nhập kho
2025-04-19 00:03:11,http://3,c,3,Xuất kho
2025-04-19 00:03:30,1,a,1,Xuất kho
2025-04-19 00:08:39,1,a,1,Nhập kho
2025-04-19 00:09:14,1,a,1,Xuất kho
2025-04-19 00:12:32,http://3,c,3,Nhập kho
2025-04-19 00:13:54,1,a,1,Nhập kho
2025-04-19 00:15:47,2,b,2,Nhập kho
2025-04-19 00:19:26,1,a,1,Nhập kho
2025-04-19 00:20:10,http://3,c,3,Nhập kho
2025-04-19 00:21:13,http://3,c,3,Xuất kho
2025-04-19 00:25:47,1,a,1,Xuất kho
2025-04-19 00:32:31,1,a,1,Nhập kho
2025-04-19 00:33:09,1,a,1,Xuất kho
2025-04-19 00:37:16,1,a,1,Nhập kho
2025-04-19 00:38:16,2,b,2,Nhập kho
2025-04-19 00:42:44,1,a,1,Nhập kho
2025-04-19 00:43:43,2,b,2,Nhập kho
2025-04-19 00:46:17,2,b,2,Nhập kho
2025-04-19 00:46:57,1,a,1,Nhập kho
2025-04-19 00:51:44,http://3,c,3,Nhập kho
